Store Name,City,Zip Code,Address,Latitude,Longitude,Phone Number
Walmart Supercenter #1651,American Canyon,94503,7011 Main St,38.182987,-122.252632,(707) 338-2561
Walmart Supercenter #5930,Anaheim,92801,88 E Orangethorpe Ave,33.857602,-117.918796,(714) 319-2263
Walmart Supercenter #2242,Anaheim,92801,440 N Euclid St,33.836272,-117.938064,(714) 319-6546
Walmart Supercenter #1881,Antelope,95843,7901 Watt Ave,38.712842,-121.394608,(916) 332-3173
Walmart Supercenter #2697,Antioch,94531,4893 Lone Tree Way,37.963462,-121.761642,(925) 755-0900
Walmart #2333,Apple Valley,92307,20251 Hwy 18,34.52558,-117.22324,(760) 946-2030
Walmart Supercenter #5890,Atwater,95301,800 Commerce Ave,37.34225662,-120.6087536,(209) 259-9292
Walmart Supercenter #5134,Bakersfield,93313,5075 Gosford Rd,35.30822984,-119.09226,(661) 912-6387
Walmart Neighborhood Market #3141,Bakersfield,93307,5037 East Brundage Lane,35.35421364,-118.9486064,(661) 473-3357
Walmart Supercenter #1574,Bakersfield,93307,6225 Colony St,35.29640134,-119.0272192,(661) 203-1767
Walmart Supercenter #2557,Bakersfield,93312,8400 Rosedale Hwy,35.3860877,-119.0958304,(661) 374-7114
Walmart Supercenter #3522,Baldwin Park,91706,3250 Big Dalton Ave,34.07293516,-117.9633419,(626) 404-4088
Walmart Supercenter #1879,Barstow,92311,301 Montara Rd,34.88453325,-116.9920798,(442) 235-1802
Walmart Supercenter #5156,Beaumont,92223,1540 E 2nd St,33.9231138,-116.9522723,(951) 692-1238
Walmart  Supercenter #5335,Brawley,92227,250 Wildcat Dr,32.962431,-115.545833,(760) 550-2366
Walmart #2523,Brea,92821,2595 E Imperial Hwy,33.9132315,-117.8652883,(714) 529-0596
Walmart Supercenter #5686,Burbank,91502,1301 N Victory Pl,34.18829145,-118.3239553,(747) 261-8072
Walmart Neighborhood Market #5664,Camarillo,93010,275 West Ventura Blvd,34.2172325,-119.0746227,(805) 233-3378
Walmart Neighborhood Market #5981,Carmichael,95608,6005 Madison Ave,38.6625598,-121.3248609,(916) 534-1157
Walmart Supercenter #3464,Chino,91710,3943 Grand Ave,33.995336,-117.719268,(909) 364-1968
Walmart Supercenter #3516,Chula Vista,91915,1360 Eastlake Pkwy,32.63322883,-116.9672997,(619) 629-1216
Walmart Supercenter #3947,Chula Vista,91910,875 E H St,32.63785,-117.025,(619) 386-4057
Walmart Supercenter #2251,City of Industry,91745,17150 Gale Ave,33.998437,-117.932376,(626) 854-1166
Walmart Supercenter #5337,Clovis,93611,1185 Herndon Ave,36.83753,-119.6959473,(559) 593-0121
Walmart Supercenter #1912,Corona,92879,479 N Mckinley St,33.890834,-117.517225,(951) 666-0964
Walmart Supercenter #2842,Corona,92881,1290 E Ontario Ave,33.8460203,-117.5412698,(951) 666-0974
Walmart Supercenter #2292,Covina,91722,1275 N Azusa Ave,34.102622,-117.909601,(626) 404-4970
Walmart Neighborhood Market #4762,Diamond Bar,91765,1180 South Diamond Bar Blvd.,34.00139818,-117.8108014,(909) 524-8068
Walmart Supercenter #5139,Dixon,95620,235 E Dorset Dr,38.47073275,-121.8187031,(707) 771-6278
Walmart Supercenter #4132,Downey,90242,9001 Apollo Way,33.9245953,-118.1285433,(562) 922-5179
Walmart #2401,Duarte,91020,1600 Mountain Ave,34.1345211,-117.9842383,(626) 359-7708
Walmart Neighborhood Market #4169,El Cajon,92021,300 North Second Street,32.797303,-116.936688,(619) 760-7936
Walmart Supercenter #2253,El Cajon,92021,13487 Camino Canada,32.822626,-116.901748,(619) 561-0828
